Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Proportion,Previous Cumulative Payout,Payout
Termhn,1GDrnVcQFG9GfKGnXNZwkiMMKszBPmPJXW,1054,316,0,6212,7266,6528,7,0.00505720733388,7,0
Tosku,1QEMKqsW3y7EgEefSoCR5DLvUvH4xs5zdJ,0,0,0,2435,2435,2435,2,0.00188638171844,1,1
Unthinkingbit,17vec4jQGCzMEsTnivizHPaowE715tu2CB,48111,14433,0,114077,162188,128510,129,0.0995560224383,127,2
Weisoq,1Cy9e1Yuwboj63XRkMkT6W6YsGDtYDrsUp,679,203,0,41414,42093,41617,42,0.0322404714482,24,18
WildElf,1KcKhKTXWX6TN6KJxGpBcDNxwsPWmKk2Tj,0,0,0,21161,21161,21161,21,0.0163933156238,21,0
Acs26,1pK5e7YxixmERU617STiXgiGdnactBQrT,0,0,0,2099,2099,2099,2,0.00162608428214,0,2
Alex0909,1Mgvwf4B1VFWKyT91tYnRVPqpTv4ddrfVT,2270,681,0,31158,33428,31839,32,0.0246655061739,0,32
Alyssa85,1ERn5JRTm5P47LzhiLCbKtduwj9M3cPE81,0,0,0,6118,6118,6118,6,0.00473958248601,0,6
Ashleysly,1Mdu9MbAEsUm81NzEPQR7GCkUxbG39pWMy,0,0,0,3055,3055,3055,3,0.002366692464,0,3
BitcoinAlchemist,1JBmwfJ4HmxTDDYwZY1rC63xR9h8Usqtat,0,0,0,3534,3534,3534,4,0.00273777124968,0,4
CaramelSunshine,1DMjwKJBkt2aujYJPuSCooRNNn9JUJs7Yx,0,0,0,3963,3963,3963,4,0.00307011529782,4,0
Ceebizcut,1M5haKYJ8PJ43kHTs6okSBLj5gUhLRQiUJ,0,0,0,4168,4168,4168,4,0.00322892772175,0,4
Cryptobyte,1HwxMzbFqZfyE6HaR2D3keJQ1ync1V5UQR,0,0,0,5145,5145,5145,5,0.00398580449338,0,5
Cryptopi,19GkNDjmTiGsmyCijGx6tpXdT67W3rNPHE,0,0,0,11151,11151,11151,11,0.00863862116729,0,11
DeadSea33,1A9qwtctYmYrCKSegy7RrNCUJxuohwFQmD,0,0,0,44355,44355,44355,44,0.0343615856762,1,43
Dexter,18jMxk8jqwvgpx4wT48VAb6jGbYNazz4b7,0,0,0,41178,41178,41178,41,0.0319003804526,0,41
Diamondcardz,18q45dAKGakQdPkjrg17NrfdiFGKWULwSJ,0,0,0,2077,2077,2077,2,0.00160904099762,0,2
Eammy,1EPRS5bUm6USqLWZf5faBzZF2dXhHdyfgc,0,0,0,7083,7083,7083,7,0.00548716292063,0,7
Eeharris,1CfWWyDNUeioJc7TBnqDBDyQKJUYwT7S2Z,0,0,0,13930,13930,13930,14,0.01079149788,0,14
Emfox,1Emfox1WswYcd2YucUskRzqfRWKkcm1Jut,0,0,0,5913,5913,5913,6,0.00458077006208,6,0
Emilianoz,1EykDePNj9311jvwcUaZczCjNFQ6Ep1zmi,2041,612,0,5560,7601,6172,6,0.00478141600256,2,4
Fheenix,1JvdsgxiJQYAJSE4Tjs3BWbXZk6Kw9mxnB,0,0,0,61303,61303,61303,61,0.0474911123145,15,46
Gabcab,14JoB7XgPE57yZ4G57YrEFSurf35TGBE8t,0,0,0,7303,7303,7303,7,0.00565759576583,7,0
Glongsword,1CRfD8qjUd8uKnYX35oxz8qAYrCnn2Zryc,0,0,0,1110,1110,1110,1,0.0008599111735,0,1
Grc,1FxaZmCkaqkKxbBz52fNAMe9bRn2GoECvf,1550,465,0,709,2259,1174,1,0.000909491637558,1,0
Hellinoos,19xyjSda5tHdkdyYCSsEp9Psq9ELgKJrJd
Icoin,18HfzUZXGA3FZ1BM8abEmjBT9Wg52qQ4Sr,0,0,0,634,634,634,0,0.000491156472071,0,0
Infoporter,1EyUQD2gwHExXnJKSkhGeQsGwAPUuVvwcE,0,0,0,851,851,851,0,0.000659265233017,0,0
Jasinlee,1Ahu957fXXwhJ5LqmpxMFHVWwSQ7h4PkXb
Lawyer,13B9eDYgwTdhfWHgQXYT8EWNpL3uV4Ffie,0,0,0,76832,76832,76832,77,0.0595213471012,0,77
Leojane,15szdWSCEVAvXVEKsrEtcKNtCfmo69drZ9,0,0,0,1025,1025,1025,1,0.000794062119673,1,0
Maximilian_Wilhelm,1BroUgeCemQvWeYBekpFyEFGZVqrXnrtQ9,0,0,0,67493,67493,67493,67,0.0522864728225,22,45
Moxy_Jane,184yBE6BY5WRpUvj7pzXjdRaemUByHvgx3,0,0,0,14307,14307,14307,14,0.0110835578011,0,14
Odolvlobo,1dmnkVoTBRLvJMSpRGnVMvFR7ygsKz3s4,0,0,0,5182,5182,5182,5,0.00401446819917,0,5
Ondratra,12QHFnbkJEwv8jmmwcXQqLyfTATqpH1eaq,0,0,0,1293,1293,1293,1,0.00100168031291,1,0
Osoverflow,1AzAEfFAcctucZB9H2P5d8TRJQFLWyBJPf,686,205,0,2132,2818,2337,2,0.00181046163286,0,2
Raptorak,1ASdsZ1JUwtVXDfYBx7MRNMeHQ8J51pSRw,0,0,0,60000,60000,60000,60,0.046481685054,0,60
Shakezula,1AyjX2QpTYFnmMFnzD3A2sqosfrrMuKbcz,0,0,0,37141,37141,37141,37,0.0287729377432,0,37
The_Goat_Master,1KGxe5my4BWjt9CExxPTWBRLVfdfeB6Ery,0,0,0,4266,4266,4266,4,0.00330484780734,0,4
Veruminnumeris,1KZZaLCMPTh9tiNZ7JDXeZUjr6yPYYwtGD,0,0,0,47639,47639,47639,48,0.0369056832382,0,48
Vilmanoella,14wvMyGUXvJpdW2GbKWCEsMDw5s5Ay2F4r,0,0,0,1139,1139,1139,1,0.000882377321276,0,1
Wiser,1LpoMowMPEVWk2LaJUdAUNaK7gBDRA1r7F,0,0,0,15392,15392,15392,15,0.0119241016059,0,15
Xchrix,13Q4drkP51gHsabCUXC5XPEBEUUYurMdvB
Xenophaux,1H5qJrnYG9pPzFZ2zbmKihymnB23ViEbXz,0,0,0,5165,5165,5165,5,0.0040012983884,0,5
Yungbull,1NgSfubWAAYrApH5rAe8RYcfdtQTNbWxbo,0,0,0,19234,19234,19234,19,0.0149004788388,1,18
,Totals,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Proportion,Previous Cumulative Payout,Payout
,,63420,19022,5,1271759,1335179,1290831,1270,1.0,496,774
,Date
,2013-06-02
