Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Proportion,Previous Cumulative Payout,Payout
FuzzyBear,18xskifRMWUtMzbHSzQi7rEWF5upmktgF2,0,0,7,15455,15455,15525,16,0.00723022864288,15,1
Gabcab,14JoB7XgPE57yZ4G57YrEFSurf35TGBE8t,0,0,0,7303,7303,7303,7,0.00340111818222,7,0
Glongsword,1CRfD8qjUd8uKnYX35oxz8qAYrCnn2Zryc,0,0,0,1110,1110,1110,1,0.000516943883646,1,0
Grantbills,1Dz6fEZma7bUwnGo44yRjgduP71cWtkgS4,0,0,3,27156,27156,27186,27,0.0126609337124,27,0
Grc,1FxaZmCkaqkKxbBz52fNAMe9bRn2GoECvf,1550,465,0,709,2259,1174,1,0.000546749657117,1,0
Heliumbm,1Fm4p5nVbKxaYaQz4kuANQG2scDBLRvECJ,0,0,0,5182,5182,5182,5,0.00241333622077,5,0
Hellinoos,1GnJic1ATC7R7cbzBR6Q7Yqziv7bwj8aQY,0,0,0,13638,13638,13638,14,0.00635142404068,4,10
Hemingway,1Mrin7GnKsBPJ78mqZiChKzNtY5WC84WFZ,0,0,0,25020,25020,25020,25,0.0116521945665,25,0
IanBerble,1P6NSPXyGxPsetEE1qjWnvpPyZk3qnNboR,0,0,0,1078,1078,1078,1,0.00050204099691,1,0
Ibrennan,14TM5MS9J3TZF2ZmAW91kCxVUHxeWTtLji,0,0,0,1004,1004,1004,1,0.000467578071334,1,0
Icoin,18HfzUZXGA3FZ1BM8abEmjBT9Wg52qQ4Sr,0,0,0,634,634,634,0,0.000295263443452,0,0
Imatt1990,17czLaECADux6yASXbxLLPqvnTSc9sD2PN
Infoporter,1EyUQD2gwHExXnJKSkhGeQsGwAPUuVvwcE,0,0,0,851,851,851,0,0.000396323644128,0,0
Jackjack,19QkqAza7BHFTuoz9N8UQkryP4E9jHo4N3,0,0,0,1095,1095,1095,1,0.000509958155488,1,0
JackRussell,1CcWpm9HSqZwE96H3SeB7V1QGUhGHfxJh,0,0,0,8622,8622,8622,9,0.00401539654486,5,4
Jasinlee,1Ahu957fXXwhJ5LqmpxMFHVWwSQ7h4PkXb
Jdean1,1AKHyiMrE5e648KYdvzHDcJcf8QBPjSnXR,0,0,0,2567,2567,2567,3,0.00119549094533,3,0
Jessiewaterfield,1BjvzSbfC2MhAVG2xvhkjuXZxApB8CgCnn
Kickaha4,12RuaN5UvZYkMn4BiiS4mMoffe3mgjzZMU
Knotwork,121Pb2BBrU7C61vBdWCKVuFFmaEZr6xFAX,0,0,0,52687,52687,52687,53,0.0245371372952,53,0
Kumala,1Fmz2cba6x2ZZqEdD4DyWPV6hYFuEGe2rW,0,0,0,2192,2192,2192,2,0.0010208477414,2,0
Lawyer,13B9eDYgwTdhfWHgQXYT8EWNpL3uV4Ffie,0,0,0,76832,76832,76832,77,0.0357818310525,77,0
Leojane,15szdWSCEVAvXVEKsrEtcKNtCfmo69drZ9,0,0,0,1025,1025,1025,1,0.000477358090754,1,0
Maitotoxin,1EZpys8PMP8bZxs2tFTY5T7cimmVMZAxuw
Marticps,12UVr7jmrEitXQfzDPXAQ7etiVaa21p4iT,1133,339,13,1062,2195,1531,2,0.000713009987263,2,0
Matt2416,19wkReFDngXWYvqrC7g96SD3uuqR5P8ahX,0,0,36,14831,14831,15191,15,0.00707467976258,15,0
Maximilian_Wilhelm,1BroUgeCemQvWeYBekpFyEFGZVqrXnrtQ9,0,0,3,87212,87212,87242,87,0.0406299263937,72,15
Metazilla,1CJSRunQtPQsiZRK7vznyeCfyDTb2kxGA8,0,0,4,14807,14807,14847,15,0.00691447373017,15,0
Mistercoin,1PxUC79jXvZRbewCeRLPm9gtUbzWGdC2h8
Mosinnagant,17vec4jQGCzMEsTnivizHPaowE715tu2CB,0,0,0,39247,39247,39247,39,0.0182779248662,39,0
Moxy_Jane,184yBE6BY5WRpUvj7pzXjdRaemUByHvgx3,0,0,0,14307,14307,14307,14,0.0066629875165,14,0
Nsddev,1F5uDaCF8ZP6kiLHvDhWsSNPHP6kwt7udi,0,0,0,16039,16039,16039,16,0.00746960626108,0,16
Odolvlobo,1dmnkVoTBRLvJMSpRGnVMvFR7ygsKz3s4,0,0,0,5889,5889,5889,6,0.00274259687459,6,0
Ondratra,12QHFnbkJEwv8jmmwcXQqLyfTATqpH1eaq,0,0,0,1293,1293,1293,1,0.000602169767166,1,0
Operaficionado,19FLaursDZbNyB7Fvj4wjKXYcX8GrZkkGr,0,0,0,28951,28951,28951,29,0.0134829210589,29,0
Osoverflow,1AzAEfFAcctucZB9H2P5d8TRJQFLWyBJPf,686,205,0,2132,2818,2337,2,0.00108837644692,2,0
Pb321go,1BCLJDtMgucGgFE9GxKpeBZ2r1Ho5kuBso,205181,61554,0,18937,224118,80491,80,0.499711314605,0,80
Penguinwriter,1LNL1Zrg5h2z8m9c48fgdMx2uXmN3S5Kch,0,0,0,60000,60000,60000,60,0.500288685395,0,60
Pepegom,1DHAQVz32aMV85AazVHEz8ryeYAArV5pTc,0,0,0,2119,2119,2119,2,0.000986850531032,2,0
Prdkojistic,15fLDbRPj14D2wHrgmTDqM1nqQ5keiV2ye,1301,390,0,0,1301,390,0,0.000181628932092,0,0
Psalm,16y9hCqxESscRnBJwJskJpDACH4qUiRpA8,0,0,0,11639,11639,11639,12,0.00542045933491,0,12
Python,1DTdNS3EksVgYAs7yykVA1eifjEHNqsqaY,535,160,1,2457,2992,2627,3,0.00122343385796,3,0
Randomcount,1CBCR1jCnD57yfwMXsUKbMBaMSrKaBUt3z
Raptorak,1ASdsZ1JUwtVXDfYBx7MRNMeHQ8J51pSRw,0,0,358,165856,165856,169436,160,0.0789089224049,80,80
Redmist,1KmDbkBGYzotq6aVf981H6aN2F5nc1SXdQ,0,0,0,1000,1000,1000,1,0.00144045714605,0,1
Sceeth0,1E1EJnnUP4vEhoAhd7Cotb6n9VwrbeTPY1
Serena,1Hq7gyvgYCnusxcvosmSy26jXXSudnsgwg,0,0,0,31339,31339,31339,31,0.0145950489816,31,0
Shakezula,1AyjX2QpTYFnmMFnzD3A2sqosfrrMuKbcz,0,0,63,37141,37141,37771,38,0.0175905292155,38,0
Shortstain,1NNRTWBA5PLVUwHsgCwQ6XTerak59VQCjL,0,0,131,68293,68293,69603,70,0.0324151757958,70,0
Stealtheh,1KZBFKD7NpV7ndufLZfKDdQgRz8nfXEBDm,0,0,0,1077,1077,1077,1,0.000501575281699,1,0
Termhn,1HXeAHn3LrCo7Xv6EU1rHsdvoY8nu9RGZL,1054,316,1,6212,7266,6538,7,0.00304484604619,7,0
The_Goat_Master,1KGxe5my4BWjt9CExxPTWBRLVfdfeB6Ery,0,0,11,12568,12568,12678,13,0.00590433743861,8,5
Theokep,1LaHm9wgGW7ZzRNKATkUNPByeLePzdGGgq
Tom,15btmQxdDU2ZNDnMUfURmsATjy8iCtZmaF,250,75,0,10093,10343,10168,10,0.00473539226028,10,0
Tosku,1QEMKqsW3y7EgEefSoCR5DLvUvH4xs5zdJ,0,0,0,2435,2435,2435,2,0.00113401653755,2,0
Twobits,13A2e3wX9MVMtP1JMxGFcbd2ZuSeVLe8uZ
Unthinkingbit,17vec4jQGCzMEsTnivizHPaowE715tu2CB,48111,14433,0,113318,161429,127751,128,0.0594955838555,128,0
Vehementchrome,17WNPSjjBxQF7gkQiFNe1yoZ1DaSgztM7K
Veruminnumeris,1KZZaLCMPTh9tiNZ7JDXeZUjr6yPYYwtGD,0,0,0,47639,47639,47639,48,0.0221862069126,48,0
Vilmanoella,14wvMyGUXvJpdW2GbKWCEsMDw5s5Ay2F4r,0,0,0,41028,41028,41028,41,0.0191073636561,41,0
Wardsmith,1SbC9Y3b5eZkYtEd7dbtzD7eP6rtEMfj5,0,0,0,3543,3543,3543,4,0.00165002899077,4,0
Wed,1Jtw6vg7Qj5JWfAU2bV5MDSVv7twy12ycY
Weisoq,1Cy9e1Yuwboj63XRkMkT6W6YsGDtYDrsUp,679,203,43,41414,42093,42047,42,0.0195819274555,42,0
WildElf,13pG9etGRXHjWqE8sc4dhheGzaZT5LsuRk,0,0,0,21161,21161,21161,21,0.00985499956921,21,0
Wiser,1LpoMowMPEVWk2LaJUdAUNaK7gBDRA1r7F,0,0,0,73376,73376,73376,73,0.034172319285,34,39
Wolf,1PrXnipPcdfNxANzxX1MTy6ko4RM8VNukm
Xchrix,13Q4drkP51gHsabCUXC5XPEBEUUYurMdvB
Xenophaux,1H5qJrnYG9pPzFZ2zbmKihymnB23ViEbXz,0,0,0,5165,5165,5165,5,0.00240541906219,5,0
Yungbull,1NgSfubWAAYrApH5rAe8RYcfdtQTNbWxbo,0,0,0,22331,22331,22331,22,0.0103998863655,22,0
,Totals,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Proportion,Previous Cumulative Payout,Payout
,,409316,122789,897,2015476,2424792,2147235,2135,1.0,1001571,443
,Date
,2013-07-13
